id,title,prod_url,ci_url,test_url
https://smart-api.info/ui/1d288b3a3caf75d541ffaae3aab386c8,BioThings SEMMEDDB API,https://biothings.ncats.io/semmeddb/query/,https://biothings.ci.transltr.io/semmeddb/query/,https://biothings.test.transltr.io/semmeddb/query/
https://smart-api.info/ui/ac9c2ad11c5c442a1a1271223468ced1,RaMP API v1.0.1,https://rampdb.nih.gov/query/,,
https://smart-api.info/ui/5c8740542b4444d4f85c2e23c670b952,Gene-List Network Enrichment Analysis,,https://translator.broadinstitute.org/gelinea-trapi/v1.5/query/,https://molepro-gelinea-trapi.test.transltr.io/gelinea-trapi/v1.5/query/
https://smart-api.info/ui/71fa2e0f0f1fe1ec67f4ddb719db5ef3,Text Mined Cooccurrence API,https://cooccurrence.transltr.io/query/,https://cooccurrence.ci.transltr.io/query/,https://cooccurrence.test.transltr.io/query/
https://smart-api.info/ui/d4290b6b5741e6da6cc6a6f42e0cfdb5,COHD TRAPI,https://cohd-api.transltr.io/api/query/,https://cohd.io/api/query/,https://cohd-api.test.transltr.io/api/query/
https://smart-api.info/ui/a8be4ea3fe8fa80a952ead0b3c5e4bc1,Microbiome KP - TRAPI 1.5.0,https://multiomics.transltr.io/mbkp/query/,https://multiomics.ci.transltr.io/mbkp/query/,https://multiomics.test.transltr.io/mbkp/query/
https://smart-api.info/ui/a6b575139cfd429b0a87f825a625d036,RTX KG2 - TRAPI 1.5.0,https://kg2cploverdb.transltr.io/query/,https://kg2cploverdb.ci.transltr.io/query/,https://kg2cploverdb.test.transltr.io/query/
https://smart-api.info/ui/dc91716f44207d2e1287c727f281d339,BioThings Explorer (BTE) TRAPI,https://bte.transltr.io/v1/query/,https://api.bte.ncats.io/v1/query/,https://bte.test.transltr.io/v1/query/
https://smart-api.info/ui/415c3b1a85ead4ceb58caf00dee9b24e,imProving Agent for TRAPI 1.5,https://ia.transltr.io/api/v1.5/query/,https://ia.healthdatascience.cloud/api/v1.5/query/,https://ia.test.transltr.io/api/v1.5/query/
https://smart-api.info/ui/3f78d3fb8a7a577fbc7cc0a913ac3fc5,Automat-panther(Trapi v1.5.0),https://automat.transltr.io/panther/query/,https://automat.renci.org/panther/query/,https://automat.test.transltr.io/panther/query/
